from,to,cost
125,27,532.6083605069468
27,193,525.0015956719271
193,27,525.0015956719271
27,314,390.0291918070786
314,27,390.0291918070786
27,563,223.574984703898
563,27,223.574984703898
28,70,653.5354208319318
70,28,653.5354208319318
28,95,580.4993456166236
95,28,580.4993456166236
28,131,552.1371632890827
131,28,552.1371632890827
28,220,592.4524143242165
220,28,592.4524143242165
28,297,459.82558184408276
297,28,459.82558184408276
28,350,846.7132551524744
350,28,846.7132551524744
29,33,290.680654686943
33,29,290.680654686943
29,35,311.0631157332903
35,29,311.0631157332903
29,41,301.59847894897325
41,29,301.59847894897325
29,46,265.9913749869534
46,29,265.9913749869534
29,260,360.0498527235911
260,29,360.0498527235911
29,261,320.38782119672476
261,29,320.38782119672476
29,565,585.2715367021452
565,29,585.2715367021452
29,566,148.62041058454486
566,29,148.62041058454486
30,82,952.0234953452577
82,30,952.0234953452577
30,128,629.6660690318494
128,30,629.6660690318494
30,160,302.12570047214206
160,30,302.12570047214206
30,201,926.48102844063
201,30,926.48102844063
30,290,388.975501675326
290,30,388.975501675326
30,301,620.3774515479057
301,30,620.3774515479057
30,306,676.1633132259054
306,30,676.1633132259054
30,317,782.9230166237613
317,30,782.9230166237613
31,87,205.29611313507004
87,31,205.29611313507004
31,127,540.889934428354
127,31,540.889934428354
31,177,851.5218793237739
177,31,851.5218793237739
31,192,911.5570548777766
192,31,911.5570548777766
32,36,330.7393218003581
36,32,330.7393218003581
32,46,439.04253189722345
46,32,439.04253189722345
32,61,496.46756762078167
61,32,496.46756762078167
32,67,477.26483963564795
67,32,477.26483963564795
32,77,351.70808068524633
77,32,351.70808068524633
32,152,513.8272370210868
152,32,513.8272370210868
32,173,416.5970772400257
173,32,416.5970772400257
32,260,280.94429283371807
260,32,280.94429283371807
32,263,121.1453075687804
263,32,121.1453075687804
32,264,290.33132432630464
264,32,290.33132432630464
33,35,339.8863949840457
35,33,339.8863949840457
33,36,181.66239968547444
36,33,181.66239968547444
33,45,219.4686450416152
45,33,219.4686450416152
33,46,386.32419912622936
46,33,386.32419912622936
33,78,507.8559574863364
78,33,507.8559574863364
33,260,224.48949225657498
260,33,224.48949225657498
33,261,501.6165934372757
261,33,501.6165934372757
33,263,420.04391345128926
263,33,420.04391345128926
33,566,347.4237940936701
566,33,347.4237940936701
34,40,297.10281523600406
40,34,297.10281523600406
34,43,436.7386929672982
43,34,436.7386929672982
34,47,181.23699748278094
47,34,181.23699748278094
34,71,223.0240246795423
71,34,223.0240246795423
34,86,397.5823835169549
86,34,397.5823835169549
34,88,519.0361577444038
88,34,519.0361577444038
34,147,383.32410437914683
147,34,383.32410437914683
34,164,534.7046384524903
164,34,534.7046384524903
34,175,412.25306327887176
175,34,412.25306327887176
35,41,373.993661974671
41,35,373.993661974671
35,45,377.9727929584176
45,35,377.9727929584176
35,78,218.41513142489714
78,35,218.41513142489714
35,178,299.6173003825749
178,35,299.6173003825749
35,261,224.2314267796719
261,35,224.2314267796719
35,566,457.51386156166444
566,35,457.51386156166444
36,45,299.7886986454316
45,36,299.7886986454316
36,46,396.6933832466037
46,36,396.6933832466037
36,86,371.8708069841553
86,36,371.8708069841553
36,260,130.58432087021743
260,36,130.58432087021743
36,263,242.47774193518418
263,36,242.47774193518418
36,264,286.1354529136367
264,36,286.1354529136367
36,566,414.6359717319688
566,36,414.6359717319688
37,46,437.2358369245504
46,37,437.2358369245504
37,55,615.568972541122
55,37,615.568972541122
37,77,439.5895809647637
77,37,439.5895809647637
37,158,332.7692422766806
158,37,332.7692422766806
37,234,712.0080338170335
234,37,712.0080338170335
37,298,284.93758919126464
298,37,284.93758919126464
37,359,198.86210522486525
359,37,198.86210522486525
37,565,467.03923178585626
565,37,467.03923178585626
37,566,467.0581022029071
566,37,467.0581022029071
38,58,648.80828369674
58,38,648.80828369674
38,64,865.2364760645104
64,38,865.2364760645104
38,106,460.3331134397858
106,38,460.3331134397858
38,118,573.4608510147798
118,38,573.4608510147798
38,132,839.2221831740651
132,38,839.2221831740651
38,161,450.53773464546043
161,38,450.53773464546043
38,199,768.8040629412221
199,38,768.8040629412221
38,250,599.4354476529969
250,38,599.4354476529969
38,315,807.500015951269
315,38,807.500015951269
38,341,631.8952253687879
341,38,631.8952253687879
39,40,271.79078282088585
40,39,271.79078282088585
39,48,241.04204647156376
48,39,241.04204647156376
39,68,731.3618044834557
68,39,731.3618044834557
39,71,414.4808489639569
71,39,414.4808489639569
